,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
81,12.1,10.2,10.2,34,18.1,20.6,12.8,25,20.8,22.4,33.1,36.5,16.3,21.1,27.8,22.7,19.2,26.6
82,11.4,9.6,9.6,33.5,17.8,19.4,12,23.1,19.4,20.8,30.3,32.4,15.3,19.7,24.9,21,17,24.2
83,13.3,11.4,11.2,34.9,18.6,22.8,14.4,28.8,23.5,25.4,38.3,44.8,17.9,23.5,33.5,26.1,23.5,31.2
84,13.4,11.5,11.3,35,18.6,23,14.6,29.1,23.7,25.6,38.8,45.6,18.1,23.7,34.1,26.4,23.9,31.7
85,13.7,11.7,11.5,35.1,18.7,23.4,14.9,29.8,24.2,26.2,39.8,47.3,18.4,24.2,35.2,27,24.8,32.6
86,17.3,15.3,14.6,37.5,20.1,30.1,19.9,42,32.7,35.8,57.2,78.6,23.5,31.7,55.9,37.9,40.9,48.4
87,14.3,12.3,12,35.5,19,24.5,15.7,31.7,25.6,27.7,42.5,51.9,19.2,25.4,38.3,28.7,27.1,35
88,11.9,10.1,10,33.9,18,20.3,12.6,24.5,20.4,21.9,32.3,35.3,16,20.7,27,22.2,18.5,25.9
89,15.3,13.3,12.8,36.2,19.4,26.4,17,35,27.9,30.4,47.2,60,20.6,27.5,43.7,31.7,31.3,39.2
90,13.2,11.3,11.1,34.8,18.5,22.6,14.3,28.5,23.3,25.1,37.9,44.2,17.8,23.3,33.1,25.8,23.1,30.9
91,14.7,12.8,12.4,35.9,19.2,25.4,16.3,33.3,26.6,29,44.6,55.6,19.9,26.3,40.8,30.1,29,36.9
92,16,14,13.5,36.7,19.6,27.7,18.1,37.5,29.6,32.3,50.7,66.5,21.7,29,48,33.9,34.7,42.5
93,16,14,13.4,36.6,19.6,27.6,18,37.3,29.5,32.2,50.5,66,21.6,28.9,47.7,33.8,34.4,42.2
94,12.6,10.7,10.6,34.4,18.3,21.5,13.5,26.6,21.9,23.6,35.2,39.9,17,22.1,30.1,24.1,20.9,28.5
95,13.5,11.6,11.3,35,18.6,23.1,14.6,29.3,23.8,25.8,39,46,18.2,23.8,34.3,26.5,24.1,31.8
96,13.6,11.6,11.4,35.1,18.7,23.2,14.7,29.5,24,25.9,39.3,46.5,18.3,23.9,34.7,26.7,24.3,32.1
97,15.5,13.6,13.1,36.4,19.5,26.8,17.4,35.9,28.5,31,48.4,62.2,21,28,45.2,32.5,32.5,40.3
98,11.8,10,9.9,33.8,17.9,20.1,12.5,24.2,20.2,21.7,31.9,34.7,15.9,20.5,26.6,22,18.2,25.6
99,14.3,12.4,12,35.6,19,24.6,15.7,31.9,25.7,27.9,42.7,52.2,19.3,25.5,38.5,28.9,27.3,35.2
100,17,15,14.3,37.3,20,29.5,19.4,40.8,31.8,34.9,55.5,75.3,23,31,53.7,36.8,39.2,46.8
101,14.9,12.9,12.5,35.9,19.2,25.6,16.5,33.7,26.9,29.3,45.2,56.6,20.1,26.6,41.5,30.5,29.6,37.5
102,12.4,10.5,10.4,34.2,18.2,21.1,13.2,25.8,21.4,23,34.1,38.2,16.6,21.6,29,23.4,20,27.5
103,14,12.1,11.8,35.4,18.9,24.1,15.4,31,25.1,27.2,41.5,50.2,18.9,24.9,37.2,28.1,26.2,34.1
104,18.6,16.6,15.7,38.2,20.6,32.5,21.7,46.6,35.7,39.4,63.9,91.7,25.3,34.4,64.3,42,47.6,54.5
105,14.7,12.7,12.3,35.8,19.1,25.2,16.2,33,26.5,28.8,44.3,55,19.8,26.2,40.4,29.9,28.7,36.6
106,17.4,15.4,14.6,37.5,20.1,30.3,20,42.2,32.8,36,57.5,79.2,23.6,31.8,56.3,38.1,41.2,48.7
