,2,1,12,3,13,14,15,16,18,7,4,5,6,9,11,8,10,17,
64,11.5,14.0,,11.0,,,,,,,,,,,,,26.0,,
65,12.0,15.0,,,,,,,,,,,,,45.0,,,,
66,12.0,16.0,77.0,,,,,,,,,,,,,,,,
67,12.0,12.0,50.0,11.0,16.5,,41.3,,,,,19.0,,,,34.0,24.0,,
68,11.8,12.5,,11.0,,,,,,,,,,,,27.0,,,
69,,22.5,,,,,,,,,,,,,110.0,,,,
70,12.0,14.0,,11.0,,,,,30.0,,,,,,43.0,,27.0,26.0,
71,12.0,14.0,,,,,,,,,,,,,,,,31.0,
72,12.0,14.0,,,,,,,,15.0,,,,,,,,,
73,10.5,11.0,,,,,,,,,,18.0,,,,,,,
74,12.0,14.0,,,,,,,,,,18.0,,,,,,,
75,,13.0,,,,,,25.0,,15.0,,,,,,,,,
76,10.0,10.0,,,,,,,,,,,,,,,,,
77,12.0,15.0,,,,,,,,,,18.0,,,38.0,,,,
78,12.0,13.5,,12.5,,,57.3,,,,,,,27.5,58.5,,32.5,45.5,
79,12.0,12.0,,13.0,,,28.0,,,,,,,,36.0,,,,
80,12.3,14.5,51.0,,,23.5,,,,,,,23.0,24.0,,27.0,19.0,,
81,10.5,12.5,,,,,,,,,,,,,,24.0,,,
82,,11.0,,,,,,,,,,,,20.0,,,,,
83,12.5,12.0,,,,,,,,,,,,,,,,,
84,,13.0,,,,,,27.0,,,,,,,,,,,
85,12.5,14.0,,,,,,30.0,,,,,,,,,,22.0,
86,,14.0,,,,,,44.0,,,,,,,,,,,
87,12.5,14.0,,,,,,,,,,,,,,,,,
88,10.0,12.0,,,,,,,,,,18.0,,,,,,,
89,13.5,15.0,,,,,,,,,,,,,,,,,
90,12.5,,,,,,,,,,,18.0,,,,,,22.0,
91,12.5,15.5,,11.5,,,,,37.0,,,,,,43.0,,31.5,,
92,12.5,16.0,,12.0,,,,,,,,18.0,,29.0,53.0,,33.0,38.0,
93,13.0,16.0,,,,,,,,,,,,,45.0,,39.0,,
94,13.0,13.0,33.0,14.0,,,28.0,,,,,,,,35.5,,,,
95,13.0,14.0,,11.5,,,,,,,,,,,,,,22.0,
96,13.0,15.0,,,18.0,,31.0,,31.0,,,,,24.0,36.0,34.0,,,
97,13.0,,,,,,,,,,,,,,50.0,,,,
98,11.0,11.0,,10.0,,,,,,13.0,,,,,30.0,,,,
99,13.0,15.0,,12.0,,,,,32.0,,,,,,41.0,,,29.0,
100,15.0,17.0,,12.5,,,,,45.0,,,,,,63.0,,,,
101,13.0,16.0,,12.0,,,,,,,,,,,43.0,,30.0,,
102,10.0,12.0,,,,,,,,,,18.0,,,36.0,,,,
103,,13.5,52.5,,,,,,,,,,,,,,26.0,,
104,,20.0,,,,,,40.0,,,,,,,,,,,
